phase_mm,front_left_extension_mm,front_right_extension_mm,rear_left_extension_mm,rear_right_extension_mm
142.773400,0.000000,0.000000,85.963636,85.963636
143.052800,0.000000,0.000000,85.963636,85.963636
143.332200,0.000000,0.000000,85.963636,85.963636
143.611600,0.000000,0.000000,85.963636,85.963636
143.891000,0.000000,0.000000,85.963636,85.963636
144.170400,0.000000,0.000000,85.963636,85.963636
144.449800,0.000000,0.000000,85.963636,85.963636
144.729200,0.000000,0.000000,85.963636,85.963636
145.008600,0.000000,0.000000,85.963636,85.963636
145.288000,0.000000,0.000000,85.963636,85.963636
145.567400,0.000000,0.000000,85.963636,85.963636
145.846800,0.000000,0.000000,85.963636,85.963636
146.126200,0.000000,0.000000,85.963636,85.963636
146.405600,0.000000,0.000000,85.963636,85.963636
146.685000,0.000000,0.000000,85.963636,85.963636
146.964400,0.000000,0.000000,85.963636,85.963636
147.243800,0.000000,0.000000,85.963636,85.963636
147.523200,0.000000,0.000000,85.963636,85.963636
147.802600,0.000000,0.000000,85.963636,85.963636
148.082000,0.000000,0.000000,85.963636,85.963636
148.361400,0.000000,0.000000,85.963636,85.963636
148.640800,0.000000,0.000000,85.963636,85.963636
148.920200,0.000000,0.000000,85.963636,85.963636
149.199600,0.000000,0.000000,85.963636,85.963636
149.479000,0.000000,0.000000,85.963636,85.963636
149.758400,0.000000,0.000000,85.963636,85.963636
150.037800,0.000000,0.000000,85.963636,85.963636
